"No.","Time","Source","Destination","Protocol","Length","Info"
"345","2.335782","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=1 Ack=7 Win=62 Len=0 TSval=1219439699 TSecr=346268869"
"348","2.343751","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=1 Ack=13 Win=62 Len=0 TSval=1219439707 TSecr=346268877"
"352","2.347020","194.29.146.149","194.29.146.97","TCP","122","cvsup > 39746 [PSH, ACK] Seq=1 Ack=13 Win=62 Len=56 TSval=1219439710 TSecr=346268877"
"354","2.385159","194.29.146.149","194.29.146.97","TCP","168","cvsup > 39746 [PSH, ACK] Seq=57 Ack=23 Win=62 Len=102 TSval=1219439749 TSecr=346268880"
"356","2.425330","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=159 Ack=53 Win=62 Len=0 TSval=1219439789 TSecr=346268918"
"358","2.425610","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=159 Ack=93 Win=62 Len=0 TSval=1219439789 TSecr=346268958"
"359","2.431619","194.29.146.149","194.29.146.97","TCP","2523","cvsup > 39746 [PSH, ACK] Seq=159 Ack=93 Win=62 Len=2457 TSval=1219439795 TSecr=346268958"
"361","2.472337","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=2616 Ack=99 Win=62 Len=0 TSval=1219439836 TSecr=346268965"
"363","2.474681","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=2616 Ack=139 Win=62 Len=0 TSval=1219439838 TSecr=346269005"
"365","2.481485","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=2616 Ack=145 Win=62 Len=0 TSval=1219439845 TSecr=346269013"
"367","2.488814","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=2616 Ack=151 Win=62 Len=0 TSval=1219439852 TSecr=346269021"
"368","2.537381","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39746 [ACK] Seq=2616 Ack=151 Win=62 Len=2896 TSval=1219439900 TSecr=346269021"
"370","2.537625","194.29.146.149","194.29.146.97","TCP","1789","cvsup > 39746 [PSH, ACK] Seq=5512 Ack=151 Win=62 Len=1723 TSval=1219439900 TSecr=346269021"
"373","2.538650","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=171 Win=62 Len=0 TSval=1219439902 TSecr=346269071"
"375","2.680164","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=177 Win=62 Len=0 TSval=1219440044 TSecr=346269213"
"377","2.689293","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=183 Win=62 Len=0 TSval=1219440053 TSecr=346269221"
"379","2.696929","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=189 Win=62 Len=0 TSval=1219440060 TSecr=346269229"
"381","2.704009","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=195 Win=62 Len=0 TSval=1219440068 TSecr=346269237"
"383","2.711977","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=201 Win=62 Len=0 TSval=1219440076 TSecr=346269245"
"385","2.720078","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=207 Win=62 Len=0 TSval=1219440084 TSecr=346269253"
"387","2.728007","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=213 Win=62 Len=0 TSval=1219440092 TSecr=346269261"
"389","2.738287","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=219 Win=62 Len=0 TSval=1219440102 TSecr=346269269"
"391","2.745569","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=225 Win=62 Len=0 TSval=1219440109 TSecr=346269277"
"393","2.752778","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=231 Win=62 Len=0 TSval=1219440116 TSecr=346269285"
"395","2.760351","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=237 Win=62 Len=0 TSval=1219440124 TSecr=346269293"
"397","2.767801","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=7235 Ack=243 Win=62 Len=0 TSval=1219440131 TSecr=346269301"
