"No.","Time","Source","Destination","Protocol","Length","Info"
"336","2.704128","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=1 Ack=7 Win=794 Len=0 TSval=1219610280 TSecr=346439454"
"337","2.708050","194.29.146.149","194.29.146.97","TCP","168","cvsup > 39746 [PSH, ACK] Seq=1 Ack=7 Win=794 Len=102 TSval=1219610284 TSecr=346439454"
"339","2.748546","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=17 Win=794 Len=0 TSval=1219610325 TSecr=346439458"
"341","2.748802","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=47 Win=794 Len=0 TSval=1219610325 TSecr=346439499"
"343","2.751971","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=53 Win=794 Len=0 TSval=1219610328 TSecr=346439502"
"345","2.760004","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=59 Win=794 Len=0 TSval=1219610336 TSecr=346439510"
"347","2.768046","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=65 Win=794 Len=0 TSval=1219610344 TSecr=346439518"
"349","2.775946","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=71 Win=794 Len=0 TSval=1219610352 TSecr=346439526"
"351","2.784012","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=77 Win=794 Len=0 TSval=1219610360 TSecr=346439534"
"353","2.791979","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=83 Win=794 Len=0 TSval=1219610368 TSecr=346439542"
"355","2.799997","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=89 Win=794 Len=0 TSval=1219610376 TSecr=346439550"
"357","2.807832","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=95 Win=794 Len=0 TSval=1219610384 TSecr=346439558"
"359","2.816147","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=101 Win=794 Len=0 TSval=1219610392 TSecr=346439566"
"361","2.824101","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=107 Win=794 Len=0 TSval=1219610400 TSecr=346439574"
"363","2.831833","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=113 Win=794 Len=0 TSval=1219610408 TSecr=346439581"
"365","2.839743","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=119 Win=794 Len=0 TSval=1219610416 TSecr=346439589"
"367","2.854311","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=125 Win=794 Len=0 TSval=1219610430 TSecr=346439597"
"369","2.874916","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=131 Win=794 Len=0 TSval=1219610451 TSecr=346439606"
"371","2.895367","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=143 Win=794 Len=0 TSval=1219610471 TSecr=346439625"
"373","2.896167","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=103 Ack=155 Win=794 Len=0 TSval=1219610472 TSecr=346439645"
"375","2.896183","194.29.146.149","194.29.146.97","TCP","196","cvsup > 39746 [PSH, ACK] Seq=103 Ack=155 Win=794 Len=130 TSval=1219610472 TSecr=346439645"
"378","2.936564","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=233 Ack=161 Win=794 Len=0 TSval=1219610513 TSecr=346439646"
"380","2.937088","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=233 Ack=201 Win=794 Len=0 TSval=1219610513 TSecr=346439687"
"381","2.937587","194.29.146.149","194.29.146.97","TCP","184","cvsup > 39746 [PSH, ACK] Seq=233 Ack=201 Win=794 Len=118 TSval=1219610514 TSecr=346439687"
"384","2.938275","194.29.146.149","194.29.146.97","TCP","168","cvsup > 39746 [PSH, ACK] Seq=351 Ack=211 Win=794 Len=102 TSval=1219610514 TSecr=346439688"
"386","2.948873","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39746 [ACK] Seq=453 Ack=221 Win=794 Len=2896 TSval=1219610525 TSecr=346439688"
"388","2.949107","194.29.146.149","194.29.146.97","TCP","2089","cvsup > 39746 [PSH, ACK] Seq=3349 Ack=221 Win=794 Len=2023 TSval=1219610525 TSecr=346439688"
"390","2.949625","194.29.146.149","194.29.146.97","TCP","1017","cvsup > 39746 [PSH, ACK] Seq=5372 Ack=237 Win=794 Len=951 TSval=1219610526 TSecr=346439699"
"392","2.990552","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=277 Win=794 Len=0 TSval=1219610567 TSecr=346439701"
"394","2.991095","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=317 Win=794 Len=0 TSval=1219610567 TSecr=346439741"
"396","2.993077","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=323 Win=794 Len=0 TSval=1219610569 TSecr=346439743"
"402","3.005873","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=329 Win=794 Len=0 TSval=1219610582 TSecr=346439754"
"421","3.019812","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=335 Win=794 Len=0 TSval=1219610596 TSecr=346439758"
"423","3.020078","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=341 Win=794 Len=0 TSval=1219610596 TSecr=346439770"
"434","3.024651","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=347 Win=794 Len=0 TSval=1219610601 TSecr=346439774"
"447","3.034215","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=353 Win=794 Len=0 TSval=1219610610 TSecr=346439781"
"487","3.058241","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=359 Win=794 Len=0 TSval=1219610634 TSecr=346439789"
"494","3.078600","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=371 Win=794 Len=0 TSval=1219610655 TSecr=346439808"
"496","3.098857","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=383 Win=794 Len=0 TSval=1219610675 TSecr=346439829"
"499","3.119192","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=401 Win=794 Len=0 TSval=1219610695 TSecr=346439849"
"503","3.139511","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=413 Win=794 Len=0 TSval=1219610716 TSecr=346439869"
"506","3.159889","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=419 Win=794 Len=0 TSval=1219610736 TSecr=346439889"
"508","3.180346","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=431 Win=794 Len=0 TSval=1219610757 TSecr=346439910"
"510","3.200736","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=443 Win=794 Len=0 TSval=1219610777 TSecr=346439930"
"512","3.221217","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=461 Win=794 Len=0 TSval=1219610797 TSecr=346439951"
"515","3.249877","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=467 Win=794 Len=0 TSval=1219610826 TSecr=346439998"
"517","3.256288","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=473 Win=794 Len=0 TSval=1219610832 TSecr=346440006"
"519","3.263846","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=479 Win=794 Len=0 TSval=1219610840 TSecr=346440013"
"521","3.272019","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=485 Win=794 Len=0 TSval=1219610848 TSecr=346440022"
"523","3.280267","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=491 Win=794 Len=0 TSval=1219610856 TSecr=346440030"
"525","3.287911","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=497 Win=794 Len=0 TSval=1219610864 TSecr=346440038"
"528","3.360985","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=503 Win=794 Len=0 TSval=1219610937 TSecr=346440110"
"530","3.441639","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=509 Win=794 Len=0 TSval=1219611018 TSecr=346440190"
"533","3.468828","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=515 Win=794 Len=0 TSval=1219611045 TSecr=346440206"
"536","3.489249","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=521 Win=794 Len=0 TSval=1219611065 TSecr=346440219"
"538","3.509708","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=533 Win=794 Len=0 TSval=1219611086 TSecr=346440239"
"540","3.519549","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6323 Ack=539 Win=794 Len=0 TSval=1219611096 TSecr=346440260"
"541","3.520111","194.29.146.149","194.29.146.97","TCP","122","cvsup > 39746 [PSH, ACK] Seq=6323 Ack=539 Win=794 Len=56 TSval=1219611096 TSecr=346440260"
"543","3.535435","194.29.146.149","194.29.146.97","TCP","341","cvsup > 39746 [PSH, ACK] Seq=6379 Ack=549 Win=794 Len=275 TSval=1219611112 TSecr=346440270"
"545","3.575555","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6654 Ack=559 Win=794 Len=0 TSval=1219611152 TSecr=346440286"
"547","3.595436","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6654 Ack=565 Win=794 Len=0 TSval=1219611171 TSecr=346440334"
"549","3.685139","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6654 Ack=573 Win=794 Len=0 TSval=1219611261 TSecr=346440434"
"551","3.804371","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=6654 Ack=581 Win=794 Len=0 TSval=1219611381 TSecr=346440554"
"552","3.823796","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39746 [ACK] Seq=6654 Ack=581 Win=794 Len=2896 TSval=1219611400 TSecr=346440554"
"554","3.824041","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39746 [ACK] Seq=9550 Ack=581 Win=794 Len=2896 TSval=1219611400 TSecr=346440554"
"555","3.824283","194.29.146.149","194.29.146.97","TCP","1514","cvsup > 39746 [ACK] Seq=12446 Ack=581 Win=794 Len=1448 TSval=1219611400 TSecr=346440554"
"556","3.824292","194.29.146.149","194.29.146.97","TCP","523","cvsup > 39746 [PSH, ACK] Seq=13894 Ack=581 Win=794 Len=457 TSval=1219611400 TSecr=346440574"
"559","3.865071","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=14351 Ack=611 Win=794 Len=0 TSval=1219611441 TSecr=346440575"
"644","4.098158","194.29.146.149","194.29.146.97","TCP","518","cvsup > 39746 [PSH, ACK] Seq=14351 Ack=611 Win=794 Len=452 TSval=1219611674 TSecr=346440575"
"646","4.098632","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=14803 Ack=621 Win=794 Len=0 TSval=1219611675 TSecr=346440848"
"650","4.375635","194.29.146.149","194.29.146.97","TCP","476","cvsup > 39746 [PSH, ACK] Seq=14803 Ack=621 Win=794 Len=410 TSval=1219611952 TSecr=346440848"
"652","4.376220","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=15213 Ack=631 Win=794 Len=0 TSval=1219611952 TSecr=346441126"
"653","4.526785","194.29.146.149","194.29.146.97","TCP","4283","cvsup > 39746 [PSH, ACK] Seq=15213 Ack=631 Win=794 Len=4217 TSval=1219612103 TSecr=346441126"
"656","4.533987","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=19430 Ack=891 Win=803 Len=0 TSval=1219612110 TSecr=346441283"
"905","6.613755","194.29.146.149","194.29.146.97","TCP","1514","cvsup > 39746 [ACK] Seq=19430 Ack=891 Win=803 Len=1448 TSval=1219614189 TSecr=346441283"
"906","6.614004","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39746 [ACK] Seq=20878 Ack=891 Win=803 Len=2896 TSval=1219614189 TSecr=346441283"
"908","6.614253","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39746 [ACK] Seq=23774 Ack=891 Win=803 Len=2896 TSval=1219614189 TSecr=346441283"
"910","6.614696","194.29.146.149","194.29.146.97","TCP","1514","cvsup > 39746 [ACK] Seq=26670 Ack=891 Win=803 Len=1448 TSval=1219614191 TSecr=346443364"
"911","6.614925","194.29.146.149","194.29.146.97","TCP","1514","cvsup > 39746 [ACK] Seq=28118 Ack=891 Win=803 Len=1448 TSval=1219614191 TSecr=346443364"
"912","6.615198","194.29.146.149","194.29.146.97","TCP","1413","cvsup > 39746 [PSH, ACK] Seq=29566 Ack=891 Win=803 Len=1347 TSval=1219614191 TSecr=346443365"
"915","6.617375","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1001 Win=803 Len=0 TSval=1219614194 TSecr=346443367"
"917","6.680222","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1007 Win=803 Len=0 TSval=1219614256 TSecr=346443430"
"919","6.688124","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1013 Win=803 Len=0 TSval=1219614264 TSecr=346443438"
"921","6.704202","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1019 Win=803 Len=0 TSval=1219614280 TSecr=346443454"
"923","6.720306","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1025 Win=803 Len=0 TSval=1219614297 TSecr=346443470"
"925","6.848522","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1031 Win=803 Len=0 TSval=1219614424 TSecr=346443598"
"927","6.880215","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1037 Win=803 Len=0 TSval=1219614456 TSecr=346443630"
"929","6.912275","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1043 Win=803 Len=0 TSval=1219614489 TSecr=346443662"
"931","6.920374","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1049 Win=803 Len=0 TSval=1219614497 TSecr=346443670"
"933","6.936283","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1055 Win=803 Len=0 TSval=1219614513 TSecr=346443686"
"935","6.944410","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1061 Win=803 Len=0 TSval=1219614521 TSecr=346443694"
"937","6.952449","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1067 Win=803 Len=0 TSval=1219614529 TSecr=346443702"
"939","6.960350","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1073 Win=803 Len=0 TSval=1219614537 TSecr=346443710"
"941","6.976688","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1079 Win=803 Len=0 TSval=1219614553 TSecr=346443726"
"943","6.984229","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1085 Win=803 Len=0 TSval=1219614560 TSecr=346443734"
"945","6.992170","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1091 Win=803 Len=0 TSval=1219614568 TSecr=346443742"
"947","7.001536","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1097 Win=803 Len=0 TSval=1219614577 TSecr=346443750"
"950","7.008425","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1103 Win=803 Len=0 TSval=1219614585 TSecr=346443758"
"967","7.016398","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1109 Win=803 Len=0 TSval=1219614593 TSecr=346443766"
"980","7.024621","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1115 Win=803 Len=0 TSval=1219614601 TSecr=346443774"
"996","7.032382","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1121 Win=803 Len=0 TSval=1219614609 TSecr=346443782"
"1014","7.040372","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1127 Win=803 Len=0 TSval=1219614616 TSecr=346443790"
"1033","7.050937","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1133 Win=803 Len=0 TSval=1219614627 TSecr=346443801"
"1045","7.058217","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1139 Win=803 Len=0 TSval=1219614634 TSecr=346443806"
"1051","7.069684","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39746 [ACK] Seq=30913 Ack=1145 Win=803 Len=0 TSval=1219614646 TSecr=346443814"
