"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","194.29.146.149","194.29.146.97","TCP","224","cvsup > 39745 [PSH, ACK] Seq=1 Ack=1 Win=129 Len=158 TSval=1219039156 TSecr=345864037"
"3","0.000700","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=11 Win=129 Len=0 TSval=1219039156 TSecr=345868316"
"351","3.154365","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=17 Win=129 Len=0 TSval=1219042310 TSecr=345871470"
"353","3.162069","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=23 Win=129 Len=0 TSval=1219042318 TSecr=345871478"
"355","3.169822","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=29 Win=129 Len=0 TSval=1219042326 TSecr=345871485"
"357","3.178041","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=35 Win=129 Len=0 TSval=1219042334 TSecr=345871494"
"359","3.186075","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=41 Win=129 Len=0 TSval=1219042342 TSecr=345871502"
"361","3.194046","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=47 Win=129 Len=0 TSval=1219042350 TSecr=345871510"
"363","3.201997","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=53 Win=129 Len=0 TSval=1219042358 TSecr=345871518"
"365","3.209960","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=59 Win=129 Len=0 TSval=1219042366 TSecr=345871525"
"367","3.217835","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=65 Win=129 Len=0 TSval=1219042374 TSecr=345871533"
"369","3.225762","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=71 Win=129 Len=0 TSval=1219042382 TSecr=345871541"
"371","3.233843","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=77 Win=129 Len=0 TSval=1219042390 TSecr=345871549"
"373","3.241823","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=83 Win=129 Len=0 TSval=1219042398 TSecr=345871557"
"375","3.249832","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=89 Win=129 Len=0 TSval=1219042406 TSecr=345871565"
"377","3.259170","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=95 Win=129 Len=0 TSval=1219042415 TSecr=345871575"
"379","3.265854","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=101 Win=129 Len=0 TSval=1219042422 TSecr=345871581"
"381","3.274154","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=107 Win=129 Len=0 TSval=1219042430 TSecr=345871589"
"383","3.292422","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=113 Win=129 Len=0 TSval=1219042448 TSecr=345871597"
"385","3.294742","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=119 Win=129 Len=0 TSval=1219042450 TSecr=345871608"
"387","3.298222","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=125 Win=129 Len=0 TSval=1219042454 TSecr=345871613"
"389","3.308209","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=131 Win=129 Len=0 TSval=1219042464 TSecr=345871621"
"391","3.315460","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=137 Win=129 Len=0 TSval=1219042471 TSecr=345871630"
"393","3.322889","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=143 Win=129 Len=0 TSval=1219042479 TSecr=345871637"
"395","3.334259","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=149 Win=129 Len=0 TSval=1219042490 TSecr=345871645"
"397","3.339712","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=155 Win=129 Len=0 TSval=1219042495 TSecr=345871653"
"399","3.345953","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=161 Win=129 Len=0 TSval=1219042502 TSecr=345871662"
"401","3.353809","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=167 Win=129 Len=0 TSval=1219042510 TSecr=345871669"
"403","3.361851","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=173 Win=129 Len=0 TSval=1219042518 TSecr=345871677"
"405","3.369776","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=179 Win=129 Len=0 TSval=1219042526 TSecr=345871685"
"407","3.434089","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=185 Win=129 Len=0 TSval=1219042590 TSecr=345871710"
"409","3.474193","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=191 Win=129 Len=0 TSval=1219042630 TSecr=345871750"
"476","3.598263","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=197 Win=129 Len=0 TSval=1219042754 TSecr=345871910"
"478","3.603657","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=203 Win=129 Len=0 TSval=1219042759 TSecr=345871917"
"481","3.609845","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=209 Win=129 Len=0 TSval=1219042766 TSecr=345871925"
"483","3.617875","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=215 Win=129 Len=0 TSval=1219042774 TSecr=345871933"
"485","3.626088","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=221 Win=129 Len=0 TSval=1219042782 TSecr=345871942"
"487","3.634114","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=227 Win=129 Len=0 TSval=1219042790 TSecr=345871950"
"489","3.642110","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=233 Win=129 Len=0 TSval=1219042798 TSecr=345871958"
"491","3.650072","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=239 Win=129 Len=0 TSval=1219042806 TSecr=345871966"
"493","3.698076","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=245 Win=129 Len=0 TSval=1219042854 TSecr=345871974"
"501","3.738063","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=275 Win=129 Len=0 TSval=1219042894 TSecr=345872014"
"567","3.779069","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=305 Win=129 Len=0 TSval=1219042934 TSecr=345872054"
"584","3.819341","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=335 Win=129 Len=0 TSval=1219042975 TSecr=345872095"
"586","3.826383","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=347 Win=129 Len=0 TSval=1219042982 TSecr=345872135"
"588","3.835546","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=353 Win=129 Len=0 TSval=1219042991 TSecr=345872150"
"591","3.842169","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=359 Win=129 Len=0 TSval=1219042998 TSecr=345872158"
"593","3.850100","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=365 Win=129 Len=0 TSval=1219043006 TSecr=345872166"
"595","3.860225","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=371 Win=129 Len=0 TSval=1219043016 TSecr=345872174"
"597","3.867870","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=377 Win=129 Len=0 TSval=1219043023 TSecr=345872181"
"599","3.874120","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=383 Win=129 Len=0 TSval=1219043030 TSecr=345872189"
"601","3.885848","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=389 Win=129 Len=0 TSval=1219043041 TSecr=345872197"
"603","3.889923","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=395 Win=129 Len=0 TSval=1219043046 TSecr=345872206"
"605","3.897868","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=401 Win=129 Len=0 TSval=1219043054 TSecr=345872213"
"607","3.905877","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=407 Win=129 Len=0 TSval=1219043062 TSecr=345872221"
"609","3.929985","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=413 Win=129 Len=0 TSval=1219043086 TSecr=345872246"
"611","3.938935","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=419 Win=129 Len=0 TSval=1219043095 TSecr=345872253"
"613","3.987075","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=425 Win=129 Len=0 TSval=1219043142 TSecr=345872262"
"615","4.026205","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=461 Win=129 Len=0 TSval=1219043182 TSecr=345872303"
"617","4.026808","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=491 Win=129 Len=0 TSval=1219043182 TSecr=345872342"
"620","4.036230","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=497 Win=129 Len=0 TSval=1219043192 TSecr=345872350"
"623","4.050462","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=503 Win=129 Len=0 TSval=1219043206 TSecr=345872366"
"625","4.059508","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=509 Win=129 Len=0 TSval=1219043215 TSecr=345872374"
"627","4.066392","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=515 Win=129 Len=0 TSval=1219043222 TSecr=345872382"
"629","4.114099","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=521 Win=129 Len=0 TSval=1219043270 TSecr=345872390"
"631","4.123817","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=545 Win=129 Len=0 TSval=1219043279 TSecr=345872430"
"633","4.126711","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=551 Win=129 Len=0 TSval=1219043282 TSecr=345872440"
"635","4.129912","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=557 Win=129 Len=0 TSval=1219043286 TSecr=345872446"
"637","4.137918","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=563 Win=129 Len=0 TSval=1219043294 TSecr=345872453"
"639","4.150627","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=159 Ack=569 Win=129 Len=0 TSval=1219043306 TSecr=345872461"
"641","4.158831","194.29.146.149","194.29.146.97","TCP","1514","cvsup > 39745 [ACK] Seq=159 Ack=575 Win=129 Len=1448 TSval=1219043314 TSecr=345872470"
"642","4.159086","194.29.146.149","194.29.146.97","TCP","2962","cvsup > 39745 [ACK] Seq=1607 Ack=575 Win=129 Len=2896 TSval=1219043314 TSecr=345872470"
"644","4.159728","194.29.146.149","194.29.146.97","TCP","1146","cvsup > 39745 [PSH, ACK] Seq=4503 Ack=575 Win=129 Len=1080 TSval=1219043315 TSecr=345872475"
"646","4.202984","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=5583 Ack=601 Win=129 Len=0 TSval=1219043359 TSecr=345872479"
"648","4.203551","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=5583 Ack=631 Win=129 Len=0 TSval=1219043359 TSecr=345872519"
"650","4.210566","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=5583 Ack=637 Win=129 Len=0 TSval=1219043366 TSecr=345872526"
