"No.","Time","Source","Destination","Protocol","Length","Info"
"604","5.353283","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=1 Ack=7 Win=647 Len=0 TSval=1219238077 TSecr=346067241"
"606","5.361034","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=1 Ack=13 Win=647 Len=0 TSval=1219238084 TSecr=346067249"
"607","5.367738","194.29.146.149","194.29.146.97","TCP","196","cvsup > 39745 [PSH, ACK] Seq=1 Ack=13 Win=647 Len=130 TSval=1219238091 TSecr=346067249"
"609","5.381369","194.29.146.149","194.29.146.97","TCP","168","cvsup > 39745 [PSH, ACK] Seq=131 Ack=23 Win=647 Len=102 TSval=1219238105 TSecr=346067256"
"646","5.422308","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=233 Ack=35 Win=647 Len=0 TSval=1219238145 TSecr=346067270"
"648","5.422546","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=233 Ack=75 Win=647 Len=0 TSval=1219238146 TSecr=346067310"
"650","5.423325","194.29.146.149","194.29.146.97","TCP","168","cvsup > 39745 [PSH, ACK] Seq=233 Ack=75 Win=647 Len=102 TSval=1219238147 TSecr=346067310"
"702","5.464537","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=85 Win=647 Len=0 TSval=1219238188 TSecr=346067312"
"704","5.464803","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=115 Win=647 Len=0 TSval=1219238188 TSecr=346067353"
"706","5.465060","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=121 Win=647 Len=0 TSval=1219238189 TSecr=346067353"
"708","5.472820","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=127 Win=647 Len=0 TSval=1219238196 TSecr=346067361"
"710","5.481420","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=133 Win=647 Len=0 TSval=1219238205 TSecr=346067369"
"712","5.488795","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=139 Win=647 Len=0 TSval=1219238212 TSecr=346067377"
"714","5.496762","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=145 Win=647 Len=0 TSval=1219238220 TSecr=346067385"
"717","5.504806","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=151 Win=647 Len=0 TSval=1219238228 TSecr=346067393"
"719","5.512863","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=157 Win=647 Len=0 TSval=1219238236 TSecr=346067401"
"721","5.521176","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=163 Win=647 Len=0 TSval=1219238245 TSecr=346067409"
"723","5.529079","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=169 Win=647 Len=0 TSval=1219238252 TSecr=346067417"
"725","5.537830","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=175 Win=647 Len=0 TSval=1219238261 TSecr=346067425"
"727","5.544973","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=181 Win=647 Len=0 TSval=1219238268 TSecr=346067433"
"729","5.553081","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=187 Win=647 Len=0 TSval=1219238276 TSecr=346067441"
"731","5.562851","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=193 Win=647 Len=0 TSval=1219238286 TSecr=346067449"
"733","5.578948","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=199 Win=647 Len=0 TSval=1219238302 TSecr=346067467"
"735","5.582155","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=205 Win=647 Len=0 TSval=1219238305 TSecr=346067467"
"737","5.592946","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=211 Win=647 Len=0 TSval=1219238316 TSecr=346067480"
"739","5.593295","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=217 Win=647 Len=0 TSval=1219238317 TSecr=346067481"
"741","5.603922","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=223 Win=647 Len=0 TSval=1219238327 TSecr=346067492"
"743","5.610429","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=229 Win=647 Len=0 TSval=1219238334 TSecr=346067498"
"745","5.617897","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=235 Win=647 Len=0 TSval=1219238341 TSecr=346067505"
"747","5.625367","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=241 Win=647 Len=0 TSval=1219238349 TSecr=346067513"
"749","5.632834","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=247 Win=647 Len=0 TSval=1219238356 TSecr=346067521"
"751","5.643536","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=253 Win=647 Len=0 TSval=1219238367 TSecr=346067529"
"753","5.649120","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=259 Win=647 Len=0 TSval=1219238372 TSecr=346067537"
"755","5.657082","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=265 Win=647 Len=0 TSval=1219238380 TSecr=346067545"
"757","5.665082","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=271 Win=647 Len=0 TSval=1219238388 TSecr=346067553"
"759","5.673229","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=277 Win=647 Len=0 TSval=1219238397 TSecr=346067561"
"765","5.683225","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=283 Win=647 Len=0 TSval=1219238407 TSecr=346067569"
"767","5.690377","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=289 Win=647 Len=0 TSval=1219238414 TSecr=346067577"
"769","5.697589","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=295 Win=647 Len=0 TSval=1219238421 TSecr=346067585"
"771","5.705045","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=301 Win=647 Len=0 TSval=1219238428 TSecr=346067593"
"773","5.712865","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=307 Win=647 Len=0 TSval=1219238436 TSecr=346067601"
"775","5.723472","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=313 Win=647 Len=0 TSval=1219238447 TSecr=346067609"
"777","5.738151","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=319 Win=647 Len=0 TSval=1219238461 TSecr=346067625"
"779","5.753137","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=325 Win=647 Len=0 TSval=1219238476 TSecr=346067641"
"781","5.763265","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=331 Win=647 Len=0 TSval=1219238487 TSecr=346067649"
"783","5.770825","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=337 Win=647 Len=0 TSval=1219238494 TSecr=346067657"
"785","5.778061","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39745 [ACK] Seq=335 Ack=343 Win=647 Len=0 TSval=1219238501 TSecr=346067665"
"786","5.778661","194.29.146.149","194.29.146.97","TCP","122","cvsup > 39745 [PSH, ACK] Seq=335 Ack=343 Win=647 Len=56 TSval=1219238502 TSecr=346067665"
"788","5.796842","194.29.146.149","194.29.146.97","TCP","213","cvsup > 39745 [PSH, ACK] Seq=391 Ack=353 Win=647 Len=147 TSval=1219238520 TSecr=346067667"
