"No.","Time","Source","Destination","Protocol","Length","Info"
"417","3.277225","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=1 Ack=457 Win=972 Len=0 TSval=262910217 TSecr=345600837"
"419","3.302960","194.29.146.15","194.29.146.97","TCP","66","http > 36072 [ACK] Seq=1 Ack=348 Win=972 Len=0 TSval=262910224 TSecr=345600863"
"420","3.306059","194.29.146.15","194.29.146.97","HTTP","572","HTTP/1.1 404 Not Found  (text/html)"
"422","3.386616","194.29.146.15","194.29.146.97","TCP","2962","[TCP segment of a reassembled PDU]"
"424","3.386848","194.29.146.15","194.29.146.97","TCP","2962","[TCP segment of a reassembled PDU]"
"426","3.387082","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"428","3.387336","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"430","3.387593","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"432","3.387854","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"434","3.388107","194.29.146.15","194.29.146.97","TCP","2962","[TCP segment of a reassembled PDU]"
"436","3.388359","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"438","3.388622","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"440","3.388869","194.29.146.15","194.29.146.97","TCP","2962","[TCP segment of a reassembled PDU]"
"442","3.389115","194.29.146.15","194.29.146.97","TCP","2962","[TCP segment of a reassembled PDU]"
"444","3.389373","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"446","3.389625","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"448","3.389634","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"450","3.389880","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"452","3.390132","194.29.146.15","194.29.146.97","TCP","2962","[TCP segment of a reassembled PDU]"
"454","3.390390","194.29.146.15","194.29.146.97","TCP","1514","[TCP segment of a reassembled PDU]"
"456","3.390639","194.29.146.15","194.29.146.97","HTTP","1279","HTTP/1.1 200 OK  (text/html)"
"459","3.503721","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=34518 Ack=924 Win=1039 Len=0 TSval=262910274 TSecr=345601063"
"460","3.620430","194.29.146.15","194.29.146.97","HTTP","621","HTTP/1.1 200 OK  (text/html)"
"463","3.732773","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=35073 Ack=1392 Win=1106 Len=0 TSval=262910331 TSecr=345601293"
"465","3.820916","194.29.146.15","194.29.146.97","HTTP","617","HTTP/1.1 200 OK  (text/html)"
"469","4.116117","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=35624 Ack=1860 Win=1173 Len=0 TSval=262910427 TSecr=345601676"
"552","4.205746","194.29.146.15","194.29.146.97","HTTP","618","HTTP/1.1 200 OK  (text/html)"
"621","4.329556","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=36176 Ack=2328 Win=1240 Len=0 TSval=262910480 TSecr=345601889"
"624","4.417815","194.29.146.15","194.29.146.97","HTTP","615","HTTP/1.1 200 OK  (text/html)"
"627","4.526098","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=36725 Ack=2796 Win=1307 Len=0 TSval=262910530 TSecr=345602086"
"629","4.630159","194.29.146.15","194.29.146.97","HTTP","609","HTTP/1.1 200 OK  (text/html)"
"633","4.747675","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=37268 Ack=3264 Win=1374 Len=0 TSval=262910585 TSecr=345602307"
"636","4.879243","194.29.146.15","194.29.146.97","HTTP","623","HTTP/1.1 200 OK  (text/html)"
"639","4.991362","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=37825 Ack=3732 Win=1441 Len=0 TSval=262910646 TSecr=345602551"
"640","5.091342","194.29.146.15","194.29.146.97","HTTP","608","HTTP/1.1 200 OK  (text/html)"
"717","5.199783","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=38367 Ack=4200 Win=1508 Len=0 TSval=262910698 TSecr=345602760"
"737","5.305684","194.29.146.15","194.29.146.97","HTTP","605","HTTP/1.1 200 OK  (text/html)"
"743","5.417319","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=38906 Ack=4668 Win=1575 Len=0 TSval=262910752 TSecr=345602977"
"745","5.513078","194.29.146.15","194.29.146.97","HTTP","608","HTTP/1.1 200 OK  (text/html)"
"750","5.627989","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=39448 Ack=5136 Win=1642 Len=0 TSval=262910805 TSecr=345603188"
"757","5.734595","194.29.146.15","194.29.146.97","HTTP","621","HTTP/1.1 200 OK  (text/html)"
"765","5.842512","194.29.146.15","194.29.146.97","TCP","66","http > 36071 [ACK] Seq=40003 Ack=5605 Win=1709 Len=0 TSval=262910859 TSecr=345603402"
