"No.","Time","Source","Destination","Protocol","Length","Info"
"91","0.850016","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=1 Ack=7 Win=501 Len=0 TSval=1220678872 TSecr=347508071"
"92","0.850387","194.29.146.149","194.29.146.97","TCP","168","cvsup > 39835 [PSH, ACK] Seq=1 Ack=7 Win=501 Len=102 TSval=1220678872 TSecr=347508071"
"94","0.890700","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=17 Win=501 Len=0 TSval=1220678913 TSecr=347508072"
"96","0.891006","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=47 Win=501 Len=0 TSval=1220678913 TSecr=347508112"
"98","0.898296","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=53 Win=501 Len=0 TSval=1220678921 TSecr=347508119"
"101","0.906298","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=59 Win=501 Len=0 TSval=1220678929 TSecr=347508127"
"103","0.914344","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=65 Win=501 Len=0 TSval=1220678937 TSecr=347508135"
"105","0.922333","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=71 Win=501 Len=0 TSval=1220678945 TSecr=347508143"
"107","0.930408","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=77 Win=501 Len=0 TSval=1220678953 TSecr=347508151"
"109","0.938350","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=83 Win=501 Len=0 TSval=1220678961 TSecr=347508159"
"111","0.946374","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=89 Win=501 Len=0 TSval=1220678969 TSecr=347508167"
"114","0.954553","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=95 Win=501 Len=0 TSval=1220678977 TSecr=347508175"
"116","0.962320","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=101 Win=501 Len=0 TSval=1220678985 TSecr=347508183"
"118","0.970400","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=103 Ack=107 Win=501 Len=0 TSval=1220678993 TSecr=347508191"
