"No.","Time","Source","Destination","Protocol","Length","Info"
"151","0.472606","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=1 Ack=7 Win=1088 Len=0 TSval=1220863750 TSecr=347692953"
"152","0.474383","194.29.146.149","194.29.146.97","TCP","86","cvsup > 39835 [PSH, ACK] Seq=1 Ack=7 Win=1088 Len=20 TSval=1220863752 TSecr=347692953"
"154","0.481437","194.29.146.149","194.29.146.97","TCP","1514","cvsup > 39835 [ACK] Seq=21 Ack=17 Win=1088 Len=1448 TSval=1220863759 TSecr=347692956"
"156","0.481692","194.29.146.149","194.29.146.97","TCP","4410","cvsup > 39835 [ACK] Seq=1469 Ack=17 Win=1088 Len=4344 TSval=1220863759 TSecr=347692956"
"157","0.481929","194.29.146.149","194.29.146.97","TCP","235","cvsup > 39835 [PSH, ACK] Seq=5813 Ack=23 Win=1088 Len=169 TSval=1220863759 TSecr=347692963"
"160","0.528202","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=53 Win=1088 Len=0 TSval=1220863806 TSecr=347692969"
"162","0.528483","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=77 Win=1088 Len=0 TSval=1220863806 TSecr=347693009"
"164","0.536477","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=83 Win=1088 Len=0 TSval=1220863814 TSecr=347693017"
"166","0.552632","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=89 Win=1088 Len=0 TSval=1220863830 TSecr=347693034"
"168","0.568609","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=95 Win=1088 Len=0 TSval=1220863846 TSecr=347693049"
"170","0.696855","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=101 Win=1088 Len=0 TSval=1220863974 TSecr=347693178"
"172","0.704690","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=107 Win=1088 Len=0 TSval=1220863982 TSecr=347693186"
"174","0.712601","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=113 Win=1088 Len=0 TSval=1220863990 TSecr=347693194"
"176","0.720627","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=119 Win=1088 Len=0 TSval=1220863998 TSecr=347693202"
"178","0.728600","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=125 Win=1088 Len=0 TSval=1220864006 TSecr=347693209"
"180","0.736589","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=131 Win=1088 Len=0 TSval=1220864014 TSecr=347693217"
"182","0.744635","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=137 Win=1088 Len=0 TSval=1220864022 TSecr=347693226"
"184","0.752615","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=5982 Ack=143 Win=1088 Len=0 TSval=1220864030 TSecr=347693233"
"185","0.756629","194.29.146.149","194.29.146.97","TCP","916","cvsup > 39835 [PSH, ACK] Seq=5982 Ack=143 Win=1088 Len=850 TSval=1220864034 TSecr=347693233"
"187","0.797126","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=6832 Ack=153 Win=1088 Len=0 TSval=1220864075 TSecr=347693239"
"189","0.797638","194.29.146.149","194.29.146.97","TCP","66","cvsup > 39835 [ACK] Seq=6832 Ack=183 Win=1088 Len=0 TSval=1220864075 TSecr=347693278"
